,Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
0,USA,"109,746,861","+3,531","1,188,692",+6,"107,610,037","+7,728","948,132","1,535","1,186,431,916","334,805,269"
1,India,"45,002,561",,"533,305",,N/A,N/A,N/A,N/A,"930,797,975","1,406,631,776"
2,France,"40,138,560",,"167,642",,"39,970,918",,0,,"271,490,188","65,584,518"
3,Germany,"38,688,634",,"178,859",,"38,240,600",,"269,175",N/A,"122,332,384","83,883,596"
4,Brazil,"38,106,633",,"708,021",,"36,249,161",,"1,149,451",N/A,"63,776,166","215,353,593"
5,S. Korea,"34,571,873",,"35,934",,"34,535,939",,0,,"15,804,065","51,329,899"
6,Japan,"33,803,572",,"74,694",,N/A,N/A,N/A,N/A,"100,414,883","125,584,838"
7,Italy,"26,475,343",,"193,742",,"26,068,983",,"212,618",219,"275,228,417","60,262,770"
8,UK,"24,812,582",,"232,112",,"24,580,093",+620,377,N/A,"522,526,476","68,497,907"
9,Russia,"23,430,629",,"400,716",,"22,767,937",,"261,976",N/A,"273,400,000","145,805,947"
10,Turkey,"17,232,066",,"102,174",,N/A,N/A,N/A,N/A,"162,743,369","85,561,976"
11,Spain,"13,914,811",,"121,760",,"13,762,417",,"30,634",231,"471,036,328","46,719,142"
12,Australia,"11,715,625",+703,"23,671",,N/A,N/A,N/A,20,"81,916,639","26,068,792"
13,Vietnam,"11,624,114",,"43,206",,"10,640,971",,"939,937",,"85,826,548","98,953,541"
14,Taiwan,"10,241,523",,"19,005",,"10,222,518",,0,,"30,742,304","23,888,595"
15,Argentina,"10,080,046",,"130,685",,"9,949,361",,0,,"35,716,069","46,010,234"
16,Netherlands,"8,620,051",,"22,992",,"8,597,059",+216,0,N/A,"25,984,435","17,211,447"
17,Mexico,"7,649,199",,"334,472",,"6,899,865",,"414,862",N/A,"20,013,810","131,562,772"
18,Iran,"7,624,699",,"146,724",,N/A,N/A,N/A,,"57,320,267","86,022,837"
19,Indonesia,"6,814,484",,"161,921",,"6,647,104",,"5,459",N/A,"114,158,919","279,134,505"
20,Poland,"6,590,704",+170,"119,885",,N/A,N/A,N/A,N/A,"39,010,197","37,739,785"
21,Colombia,"6,384,891",,"143,079",,"6,203,441",,"38,371",342,"36,951,507","51,512,762"
22,Greece,"6,101,379",,"37,869",,N/A,N/A,N/A,,"102,228,365","10,316,637"
23,Austria,"6,081,287",,"22,542",,"6,054,934",,"3,811",,"211,273,524","9,066,710"
24,Portugal,"5,631,629",,"27,702",,"5,603,595",,332,61,"46,139,518","10,140,570"
25,Ukraine,"5,557,995",,"112,418",,"5,445,577",,0,,"32,603,805","43,192,122"
26,Chile,"5,319,739",,"64,497",,"5,252,450",,"2,792",23,"50,382,097","19,250,195"
27,Malaysia,"5,147,359",,"37,202",,"5,094,830",,"15,327",4,"68,580,916","33,181,072"
28,Israel,"4,841,772",,"12,707",,"4,798,473",,"30,592",N/A,"41,373,364","9,326,000"
29,Belgium,"4,832,936",,"34,376",,"4,794,191",,"4,369",N/A,"37,018,657","11,668,278"
30,Canada,"4,831,665",,"55,517",,"4,738,372","+1,526","37,776",99,"66,525,130","38,388,419"
31,DPRK,"4,772,813",,74,,"4,772,739",,0,,,"25,990,679"
32,Thailand,"4,760,122",,"34,496",,"4,692,636",,"32,990",N/A,"17,270,775","70,078,203"
33,Czechia,"4,713,925",+243,"43,141",+1,"4,654,388","+1,600","16,396",56,"57,517,167","10,736,784"
34,Peru,"4,524,326",,"222,161",,"4,302,165",,0,4,"39,010,194","33,684,208"
35,Switzerland,"4,432,537",,"14,452",,"4,408,233",,"9,852",N/A,"23,833,472","8,773,637"
36,Philippines,"4,127,586",+254,"66,779",,"4,056,931",,"3,876",N/A,"36,032,254","112,508,994"
37,South Africa,"4,076,463",,"102,595",,"3,912,506",,"61,362",192,"26,795,090","60,756,135"
38,Romania,"3,505,080",,"68,653",,"3,433,845",,"2,582",40,"28,355,584","19,031,335"
39,Denmark,"3,183,756",,"8,814",,"3,174,942",,0,,"129,333,107","5,834,950"
40,Hong Kong,"2,924,468",,"14,359",,"2,909,315",,794,N/A,"76,127,725","7,604,299"
41,Singapore,"2,739,037",,"1,933",,"2,724,480","+9,470","12,624",9,"24,756,666","5,943,546"
42,Sweden,"2,738,868",,"26,018",,"2,703,038",+649,"9,812",N/A,"19,500,873","10,218,971"
43,Serbia,"2,591,641",,"18,057",,"2,565,413",,"8,171",,"13,277,266","8,653,016"
44,New Zealand,"2,519,095",,"5,143",,"2,508,875",,"5,077",,"7,768,604","4,898,203"
45,Iraq,"2,465,545",,"25,375",,"2,439,497",,673,,"19,544,451","42,164,965"
46,Hungary,"2,212,994",,"48,881",,"2,152,155",,"11,958",,"11,394,556","9,606,259"
47,Bangladesh,"2,046,090",,"29,477",,N/A,N/A,N/A,N/A,"15,254,399","167,885,689"
48,Slovakia,"1,869,296",,"21,167",,"1,847,634",,495,12,"7,446,911","5,460,193"
49,Georgia,"1,855,289",,"17,132",,N/A,N/A,N/A,,"16,920,079","3,968,738"
50,Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"17,201,885","10,300,869"
51,Ireland,"1,725,026",,"9,366",,"1,715,187",,473,19,"13,083,449","5,020,199"
52,Pakistan,"1,581,936",,"30,664",,"1,538,689",,"12,583",,"30,589,153","229,488,994"
53,Finland,"1,507,123",,"11,140",,"1,490,132",+487,"5,851",N/A,"12,108,977","5,554,960"
54,Norway,"1,489,459",,"5,732",,"1,483,727",,0,N/A,"11,002,430","5,511,370"
55,Kazakhstan,"1,411,831",,"13,848",,"1,383,020",,"14,963",24,"11,575,012","19,205,043"
56,Lithuania,"1,369,257",+94,"9,808",,"1,340,912","+1,596","18,537",N/A,"10,540,357","2,661,708"
57,Slovenia,"1,350,518",+90,"7,100",,"1,341,631",+126,"1,787",N/A,"2,847,701","2,078,034"
58,Bulgaria,"1,330,007",,"38,644",,"1,288,753",,"2,610",35,"11,494,824","6,844,597"
59,Guatemala,"1,279,948",,"20,267",,"1,259,254",,427,5,"7,593,848","18,584,039"
60,Morocco,"1,277,862",,"16,297",,N/A,N/A,N/A,N/A,"13,001,033","37,772,756"
61,Croatia,"1,277,346",,"18,518",,"1,258,432",,396,,"5,660,084","4,059,286"
62,Lebanon,"1,243,838",,"10,952",,"1,087,587",,"145,299",74,"4,795,578","6,684,849"
63,Costa Rica,"1,238,883",,"9,428",,N/A,N/A,N/A,N/A,"4,659,757","5,182,354"
64,Bolivia,"1,210,122",,"22,407",,"1,177,145",,"10,570",220,"2,710,261","11,992,656"
65,Tunisia,"1,153,361",,"29,423",,N/A,N/A,N/A,N/A,"5,013,383","12,046,656"
66,Cuba,"1,115,169",,"8,530",,"1,106,575",,64,,"14,394,534","11,305,652"
67,Ecuador,"1,070,121",,"36,043",,"1,034,078",,0,,"3,082,403","18,113,361"
68,UAE,"1,067,030",,"2,349",,N/A,N/A,N/A,,"200,732,262","10,081,785"
69,Panama,"1,049,089",,"8,666",,"1,040,268",,155,16,"7,811,039","4,446,964"
70,Uruguay,"1,040,976",,"7,664",,"1,030,944",,"2,368",18,"6,114,822","3,496,016"
71,Mongolia,"1,011,319",,"2,284",,"1,009,013",,22,N/A,"4,030,048","3,378,078"
72,Nepal,"1,003,450",,"12,031",,"991,322",,97,,"6,047,766","30,225,582"
73,Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"13,646,641","9,432,800"
74,Latvia,"980,474",,"6,494",,"971,406",,"2,574",,"7,885,792","1,848,837"
75,Saudi Arabia,"841,469",,"9,646",,N/A,N/A,N/A,,"45,481,735","35,844,909"
76,Azerbaijan,"834,172",,"10,376",,"823,758",,38,,"7,718,479","10,300,205"
77,Paraguay,"819,221",,"20,040",,N/A,N/A,N/A,N/A,"2,657,506","7,305,843"
78,Bahrain,"729,549",,"1,574",,"727,915",,60,N/A,"10,948,549","1,783,983"
79,Sri Lanka,"672,639",,"16,888",,"655,741",,10,,"6,486,117","21,575,842"
80,Dominican Republic,"670,627",,"4,384",,"666,104",,139,4,"3,740,928","11,056,370"
81,Kuwait,"666,538",,"2,570",,N/A,N/A,N/A,,"8,455,743","4,380,326"
82,Cyprus,"660,854",,"1,364",,"659,490",,0,,"9,640,118","1,223,387"
83,Myanmar,"641,383",,"19,495",,"620,159",,"1,729",,"11,500,280","55,227,143"
84,Moldova,"627,458",,"12,154",,N/A,N/A,N/A,N/A,"3,216,305","4,013,171"
85,Estonia,"623,441",,"3,001",,N/A,N/A,N/A,N/A,"3,762,001","1,321,910"
86,Palestine,"621,008",,"5,404",,"615,445",,159,,"3,078,533","5,345,541"
87,Venezuela,"552,695",,"5,856",,"546,537",,302,31,"3,359,014","29,266,991"
88,Egypt,"516,023",,"24,613",,"442,182",,"49,228",122,"3,693,367","106,156,692"
89,Qatar,"514,524",,690,,"513,687",,147,16,"4,065,369","2,979,915"
90,Libya,"507,274",,"6,437",,"500,835",,2,,"2,483,848","7,040,745"
91,Ethiopia,"501,087",,"7,574",,"488,171",,"5,342",,"5,565,340","120,812,698"
92,Réunion,"494,595",,921,,N/A,N/A,N/A,N/A,"1,603,660","908,061"
93,Honduras,"474,590",,"11,165",,N/A,N/A,N/A,N/A,"1,660,662","10,221,247"
94,Armenia,"451,107",,"8,774",,"435,162",,"7,171",,"3,242,901","2,971,966"
95,Bosnia and Herzegovina,"403,355",,"16,369",,"379,084",,"7,902",,"1,884,721","3,249,317"
96,Oman,"399,449",,"4,628",,N/A,N/A,N/A,,"25,000,000","5,323,993"
97,Luxembourg,"386,030",,"1,232",,N/A,N/A,N/A,,"4,587,145","642,371"
98,North Macedonia,"349,868",,"9,958",,"337,068",,"2,842",,"2,226,216","2,081,304"
99,Zambia,"349,298",,"4,069",,"341,316",,"3,913",,"4,112,961","19,470,234"
100,Kenya,"344,130",,"5,689",,"337,309",,"1,132",N/A,"3,967,062","56,215,221"
101,Albania,"334,726",,"3,602",,"329,428",,"1,696",,"1,941,032","2,866,374"
102,Botswana,"330,397",,"2,801",,"327,049",,547,1,"2,026,898","2,441,162"
103,Brunei,"315,733",,225,,"243,601",,"71,907",3,"717,784","445,431"
104,Montenegro,"294,899",,"2,834",,"291,794",,271,N/A,"2,764,972","627,950"
105,Algeria,"271,997",,"6,881",,"183,061",,"82,055",,"230,960","45,350,148"
106,Nigeria,"267,163",,"3,155",,"259,953",,"4,055",11,"5,708,974","216,746,934"
107,Zimbabwe,"265,927",,"5,727",,"258,888",,"1,312",12,"2,525,756","15,331,428"
108,Uzbekistan,"253,662",,"1,637",,"241,486",,"10,539",23,"1,377,915","34,382,084"
109,Mozambique,"233,676",,"2,250",,"228,805",,"2,621",11,"1,371,127","33,089,461"
110,Martinique,"230,354",,"1,102",,N/A,N/A,N/A,N/A,"828,928","374,087"
111,Afghanistan,"229,590",,"7,965",,"208,756",,"12,869",,"1,340,648","40,754,388"
112,Laos,"218,901",,758,,N/A,N/A,N/A,,"1,233,207","7,481,023"
113,Iceland,"209,328",,229,,N/A,N/A,N/A,,"1,996,384","345,393"
114,Kyrgyzstan,"206,897",,"2,991",,"196,406",,"7,500",131,"1,907,195","6,728,271"
115,Guadeloupe,"203,235",,"1,021",,N/A,N/A,N/A,N/A,"938,039","399,794"
116,El Salvador,"201,833",,"4,230",,"179,410",,"18,193",,"2,610,114","6,550,389"
117,Trinidad and Tobago,"191,496",,"4,390",,"187,078",,28,N/A,"913,289","1,406,585"
118,Maldives,"186,694",,316,,"163,687",,"22,691",25,"2,213,831","540,985"
119,Namibia,"172,170",,"4,102",,"167,099",,969,,"1,062,663","2,633,874"
120,Uganda,"171,983",,"3,632",,"100,431",,"67,920",,"3,012,408","48,432,863"
121,Ghana,"171,884",,"1,462",,"170,417",,5,,"2,541,468","32,395,450"
122,Jamaica,"156,551",,"3,664",,N/A,N/A,N/A,,"1,183,986","2,985,094"
123,Cambodia,"138,963",,"3,056",,"135,900",,7,,"3,091,420","17,168,639"
124,Rwanda,"133,518",,"1,468",,"132,039",,11,,"6,021,981","13,600,464"
125,Cameroon,"125,228",,"1,974",,"123,237",,17,N/A,"1,751,774","27,911,548"
126,Malta,"120,806",,866,,"119,504",,436,,"2,158,724","444,033"
127,Barbados,"110,235",,641,,"108,647",,947,,"810,447","288,023"
128,Angola,"106,002",,"1,936",,"103,419",,647,,"1,499,795","35,027,343"
129,Channel Islands,"101,717",,228,,"101,321",,168,,"1,252,808","176,463"
130,DRC,"99,226",,"1,468",,"84,489",,"13,269",,"846,704","95,240,792"
131,French Guiana,"98,041",,420,,"11,254",,"86,367",6,"651,257","314,169"
132,Malawi,"89,089",,"2,686",,N/A,N/A,N/A,N/A,"624,784","20,180,839"
